Package,Name,Hyperparameters,diff,F1Learning,F1Test
04-sklearn.naive_bayes,GaussianNB,01-Default,0.002,0.203,0.201
05-sklearn.linear_model,Logistic Regression,02-After tuning,0.01,0.657,0.647
05-sklearn.linear_model,Logistic Regression,02-After tuning-no-penalty,0.01,0.657,0.647
05-sklearn.linear_model,Logistic Regression,03-penalty-l1-lasso,0.017,0.657,0.64
06-sklearn.neighbors,KNeighborsClassifier,02-After tuning,0.056,0.736,0.68
07-sklearn.svm,SVC,02-After tuning,0.094,0.826,0.732
08-sklearn.tree,Decision Tree,02-After tuning,0.038,0.789,0.751
08-sklearn.tree,Decision Tree,03-Random Undersampling,0.049,0.832,0.783
08-sklearn.tree,Decision Tree,04-Random Oversampling,0.102,0.875,0.773
08-sklearn.tree,Decision Tree,05-NearMissV1 Undersampling,0.054,0.78,0.726
08-sklearn.tree,Decision Tree,06-NearMissV2 Undersampling,0.044,0.752,0.708
08-sklearn.tree,Decision Tree,07-Smote Oversampling,0.079,0.848,0.769
09-sklearn.ensemble,RandomForest,02-After tuning,0.054,0.806,0.752
09-sklearn.ensemble,RandomForest,03-Random Undersampling,0.069,0.814,0.745
09-sklearn.ensemble,RandomForest,04-Random Oversampling,0.076,0.818,0.742
09-sklearn.ensemble,RandomForest,05-NearMissV1 Undersampling,0.057,0.81,0.753
09-sklearn.ensemble,RandomForest,06-NearMissV2 Undersampling,0.01,0.752,0.742
09-sklearn.ensemble,RandomForest,07-Smote Oversampling,0.07,0.819,0.749
10-sklearn.ensemble,Bagging,02-After tuning,0.213,1.0,0.787
10-sklearn.ensemble,Bagging,03-Random Undersampling,0.211,1.0,0.789
10-sklearn.ensemble,Bagging,04-Random Oversampling,0.209,1.0,0.791
10-sklearn.ensemble,Bagging,05-NearMissV1 Undersampling,0.209,1.0,0.791
10-sklearn.ensemble,Bagging,06-NearMissV2 Undersampling,0.246,1.0,0.754
10-sklearn.ensemble,Bagging,07-Smote Oversampling,0.198,1.0,0.802
11-sklearn.ensemble,GradientBoosting,02-After tuning,0.148,0.952,0.804
11-sklearn.ensemble,GradientBoosting,03-Random Undersampling,0.093,0.88,0.787
11-sklearn.ensemble,GradientBoosting,04-Random Oversampling,0.202,1.0,0.798
11-sklearn.ensemble,GradientBoosting,05-NearMissV1 Undersampling,0.21,0.994,0.784
11-sklearn.ensemble,GradientBoosting,06-NearMissV2 Undersampling,0.224,1.0,0.776
11-sklearn.ensemble,GradientBoosting,07-Smote Oversampling,0.204,1.0,0.796
